page_number,type,x0,y0,x1,y1,x0mm,y0mm,x1mm,y1mm
3,text_block,44.65,18.55,230.32,28.64,15.751527777777776,6.544027777777777,81.25177777777776,10.103555555555555
3,text_block,960.21,18.55,1145.9,28.64,338.74075,6.544027777777777,404.24805555555554,10.103555555555555
3,text_block,639.92,97.68,892.94,164.99,225.74955555555553,34.45933333333333,315.0093888888889,58.20480555555555
3,image_block,43.79,104.15,595.28,379.89,15.448138888888888,36.74180555555555,210.00155555555554,134.01674999999997
3,image_block,864.26,193.19,954.32,358.82,304.8917222222222,68.15313888888888,336.66288888888886,126.5837222222222
3,image_block,778.14,195.96,862.82,358.83,274.5105,69.13033333333333,304.3837222222222,126.58724999999998
3,image_block,961.77,200.28,1045.93,358.84,339.2910833333333,70.65433333333333,368.9808611111111,126.59077777777776
3,image_block,1055.15,203.11,1093.47,358.84,372.23347222222225,71.65269444444445,385.75191666666666,126.59077777777776
3,image_block,1101.08,203.11,1140.02,358.81,388.4365555555555,71.65269444444445,402.1737222222222,126.58019444444443
3,text_block,807.55,362.42,837.96,381.46,284.8856944444444,127.85372222222222,295.61366666666663,134.5706111111111
3,text_block,878.01,362.42,943.12,405.01,309.74241666666666,127.85372222222222,332.71177777777774,142.87852777777775
3,text_block,972.42,362.42,1037.51,405.01,343.04816666666665,127.85372222222222,366.0104722222222,142.87852777777775
3,text_block,1067.52,362.42,1132.08,405.01,376.59733333333327,127.85372222222222,399.3726666666666,142.87852777777775
3,text_block,648.43,366.72,676.82,377.16,228.7516944444444,129.37066666666666,238.76705555555554,133.05366666666666
3,text_block,802.26,391.5,843.25,400.51,283.0195,138.11249999999998,297.47986111111106,141.29102777777777
3,text_block,648.42,391.52,777.22,736.96,228.74816666666663,138.11955555555554,274.18594444444443,259.9831111111111
3,text_block,44.65,393.18,418.47,424.47,15.751527777777776,138.70516666666666,147.62691666666666,149.74358333333333
3,text_block,819.77,425.67,825.74,437.25,289.19663888888886,150.16691666666665,291.3027222222222,154.25208333333333
3,text_block,906.66,425.67,912.63,437.25,319.8495,150.16691666666665,321.9555833333333,154.25208333333333
3,text_block,1001.05,425.67,1007.02,437.25,353.1481944444444,150.16691666666665,355.25427777777776,154.25208333333333
3,text_block,44.65,438.97,499.73,535.39,15.751527777777776,154.8588611111111,176.2936388888889,188.87369444444442
3,text_block,1095.69,442.67,1101.66,454.26,386.5350833333333,156.16413888888889,388.64116666666666,160.2528333333333
3,text_block,819.77,476.69,825.74,488.27,289.19663888888886,168.16563888888888,291.3027222222222,172.25080555555553
3,text_block,867.88,476.69,951.4,546.94,306.16877777777773,168.16563888888888,335.63277777777773,192.94827777777778
3,text_block,962.28,476.69,1045.79,546.94,339.47099999999995,168.16563888888888,368.93147222222217,192.94827777777778
3,text_block,1067.79,476.69,1129.56,546.94,376.6925833333333,168.16563888888888,398.48366666666664,192.94827777777778
3,text_block,815.27,514.96,830.24,542.44,287.6091388888889,181.66644444444444,292.8902222222222,191.36077777777777
3,text_block,819.77,567.59,825.74,579.18,289.19663888888886,200.23313888888887,291.3027222222222,204.3218333333333
3,text_block,906.65,567.59,912.63,596.18,319.8459722222222,200.23313888888887,321.9555833333333,210.3190555555555
3,text_block,1001.05,567.59,1007.02,596.18,353.1481944444444,200.23313888888887,355.25427777777776,210.3190555555555
3,text_block,1095.69,567.59,1101.66,579.18,386.5350833333333,200.23313888888887,388.64116666666666,204.3218333333333
3,text_block,312.52,607.75,557.49,762.54,110.2501111111111,214.4006944444444,196.6700833333333,269.00716666666665
3,text_block,44.65,607.8,292.98,762.28,15.751527777777776,214.4183333333333,103.35683333333333,268.9154444444444
3,text_block,819.77,618.62,825.74,681.22,289.19663888888886,218.23538888888888,291.3027222222222,240.31927777777776
3,text_block,906.66,618.62,912.63,681.22,319.8495,218.23538888888888,321.9555833333333,240.31927777777776
3,text_block,1001.05,618.62,1007.02,681.22,353.1481944444444,218.23538888888888,355.25427777777776,240.31927777777776
3,text_block,1095.69,618.62,1101.66,630.2,386.5350833333333,218.23538888888888,388.64116666666666,222.32055555555556
3,text_block,543.14,620.79,561.64,632.32,191.6077222222222,219.00091666666663,198.13411111111108,223.06844444444445
3,text_block,1095.69,652.63,1101.66,681.22,386.5350833333333,230.2333611111111,388.64116666666666,240.31927777777776
3,text_block,819.77,703.66,825.74,715.24,289.19663888888886,248.23561111111107,291.3027222222222,252.32077777777775
3,text_block,906.66,703.66,912.63,715.24,319.8495,248.23561111111107,321.9555833333333,252.32077777777775
3,text_block,1001.05,703.66,1007.02,715.24,353.1481944444444,248.23561111111107,355.25427777777776,252.32077777777775
3,text_block,1095.69,722.13,1101.66,733.71,386.5350833333333,254.75141666666664,388.64116666666666,258.8365833333333
3,text_block,639.92,749.32,962.94,757.65,225.74955555555553,264.34344444444446,339.7038333333333,267.2820833333333
